caseId,contractId,contractArm,track,scenarioId,httpStatus,structural,measurementAdmissibility,measurementLimited,semanticVerdict,reason,responseBytes,responseSha256
ESSENTIAL12x7-V2-E1-3-empty-in-range-v1,E1-3,zero-shot,reporting,empty-in-range-v1,200,schema_valid,admissible_preparatory,False,failed,report_empty,204,3313855622796ec4592da8c21290b61a5645adb5a2d6c121cbeeb541108ac0a3
ESSENTIAL12x7-V2-E1-3-card-break-two-groups-v1,E1-3,zero-shot,reporting,card-break-two-groups-v1,200,schema_valid,admissible_preparatory,False,inconclusive,qualified extractor error: InvalidOperation: [<class 'decimal.ConversionSyntax'>],4064,97e8890ca9ac0b0c7a8cbfc2e94b1e1cd504912f79fd49b8a5a032d61ad6c58b
ESSENTIAL12x7-V2-E1-3-pagination-threshold-20-v1,E1-3,zero-shot,reporting,pagination-threshold-20-v1,200,schema_valid,admissible_preparatory,False,inconclusive,qualified extractor error: InvalidOperation: [<class 'decimal.ConversionSyntax'>],13408,cbf586441d6b87017db79d1555ea1a434a94df67f8f6f749c33d2be6742882a8
ESSENTIAL12x7-V2-E2-1-valid-new-tcatbal,E2-1,few-shot,posting,valid-new-tcatbal,200,schema_valid,admissible_preparatory,False,pass,posting expected_accept matched actual TRANFILE.after/DALYREJS bytes,93,0a19d00584a7db0422ccf6101be5e5fdad55e3012c9ed8101e4235118aed6afe
ESSENTIAL12x7-V2-E2-1-valid-existing-tcatbal,E2-1,few-shot,posting,valid-existing-tcatbal,200,schema_valid,admissible_preparatory,False,pass,posting expected_accept matched actual TRANFILE.after/DALYREJS bytes,93,0a19d00584a7db0422ccf6101be5e5fdad55e3012c9ed8101e4235118aed6afe
ESSENTIAL12x7-V2-E2-1-reject-card-missing,E2-1,few-shot,posting,reject-card-missing,200,schema_valid,admissible_preparatory,False,pass,posting expected_reject matched actual TRANFILE.after/DALYREJS bytes,93,65d80abe777b8060102d4769ea2265cd31bb4b761224f6517ba129456b71d123
ESSENTIAL12x7-V2-E2-1-reject-account-missing,E2-1,few-shot,posting,reject-account-missing,200,schema_valid,admissible_preparatory,False,pass,posting expected_reject matched actual TRANFILE.after/DALYREJS bytes,93,65d80abe777b8060102d4769ea2265cd31bb4b761224f6517ba129456b71d123
ESSENTIAL12x7-V2-E2-1-reject-limit,E2-1,few-shot,posting,reject-limit,200,schema_valid,admissible_preparatory,False,pass,posting expected_reject matched actual TRANFILE.after/DALYREJS bytes,93,65d80abe777b8060102d4769ea2265cd31bb4b761224f6517ba129456b71d123
ESSENTIAL12x7-V2-E2-1-reject-expiry,E2-1,few-shot,posting,reject-expiry,200,schema_valid,admissible_preparatory,False,pass,posting expected_reject matched actual TRANFILE.after/DALYREJS bytes,93,65d80abe777b8060102d4769ea2265cd31bb4b761224f6517ba129456b71d123
ESSENTIAL12x7-V2-E2-1-rates-specific-default-zero,E2-1,few-shot,interest,rates-specific-default-zero,200,schema_valid,admissible_preparatory,False,pass,interest formula matched source-derived balances/rates and actual TRANSACT bytes,1964,41e6876a7738c7c59fcdab9c93042bf34c24096f14b8966d6e9af808e86994a4
ESSENTIAL12x7-V2-E2-1-single-final-eof,E2-1,few-shot,interest,single-final-eof,200,schema_valid,admissible_preparatory,False,pass,interest formula matched source-derived balances/rates and actual TRANSACT bytes,992,74bee928f2d554ce7edec7c082326ccaacd11e7767fffcc93952446f21be5c49
ESSENTIAL12x7-V2-E2-1-date-boundaries-in-out-v1,E2-1,few-shot,reporting,date-boundaries-in-out-v1,200,schema_valid,admissible_preparatory,False,inconclusive,TRANREPT-SRC-TOTALS-FINANCIAL-CORRECTNESS=not_observable,833,46d6265537785dcf0fbbf44a164675242169cdfa3d47d101a7f559b41cf089c4
ESSENTIAL12x7-V2-E2-1-empty-in-range-v1,E2-1,few-shot,reporting,empty-in-range-v1,200,schema_valid,admissible_preparatory,False,failed,report_empty,13,fde6cb9ea71d9460330da7d1f23965fea313a3bd36510741d5373f684068b14f
ESSENTIAL12x7-V2-E2-1-card-break-two-groups-v1,E2-1,few-shot,reporting,card-break-two-groups-v1,400,schema_valid,inadmissible_or_limited,True,failed,missing_report,2,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
ESSENTIAL12x7-V2-E2-1-pagination-threshold-20-v1,E2-1,few-shot,reporting,pagination-threshold-20-v1,400,schema_valid,inadmissible_or_limited,True,failed,missing_report,2,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
ESSENTIAL12x7-V2-E2-2-valid-new-tcatbal,E2-2,few-shot,posting,valid-new-tcatbal,200,schema_valid,admissible_preparatory,False,pass,posting expected_accept matched actual TRANFILE.after/DALYREJS bytes,357,787e62b5a852e7768bd91e6ae7d6a8b59ac63ae27232e431b6848b346a0ea55d
ESSENTIAL12x7-V2-E2-2-valid-existing-tcatbal,E2-2,few-shot,posting,valid-existing-tcatbal,200,schema_valid,admissible_preparatory,False,pass,posting expected_accept matched actual TRANFILE.after/DALYREJS bytes,289,a391312edf04a44741006245dec6bbf8c4aee6bc574ad80e5d6e47e1b85a6062
ESSENTIAL12x7-V2-E2-2-reject-card-missing,E2-2,few-shot,posting,reject-card-missing,200,schema_valid,admissible_preparatory,False,pass,posting expected_reject matched actual TRANFILE.after/DALYREJS bytes,289,4e38aa1a64b381ec9697647bf28f9bd4291953f7ed016d1affa810b84fe26eed
ESSENTIAL12x7-V2-E2-2-reject-account-missing,E2-2,few-shot,posting,reject-account-missing,200,schema_valid,admissible_preparatory,False,pass,posting expected_reject matched actual TRANFILE.after/DALYREJS bytes,289,4e38aa1a64b381ec9697647bf28f9bd4291953f7ed016d1affa810b84fe26eed
ESSENTIAL12x7-V2-E2-2-reject-limit,E2-2,few-shot,posting,reject-limit,200,schema_valid,admissible_preparatory,False,pass,posting expected_reject matched actual TRANFILE.after/DALYREJS bytes,289,4e38aa1a64b381ec9697647bf28f9bd4291953f7ed016d1affa810b84fe26eed
ESSENTIAL12x7-V2-E2-2-reject-expiry,E2-2,few-shot,posting,reject-expiry,200,schema_valid,admissible_preparatory,False,pass,posting expected_reject matched actual TRANFILE.after/DALYREJS bytes,289,4e38aa1a64b381ec9697647bf28f9bd4291953f7ed016d1affa810b84fe26eed
ESSENTIAL12x7-V2-E2-2-rates-specific-default-zero,E2-2,few-shot,interest,rates-specific-default-zero,200,schema_valid,admissible_preparatory,False,pass,interest formula matched source-derived balances/rates and actual TRANSACT bytes,2655,e403b229c1f0659db531e0417796fea14ba4b6abe3c217b661af5bb6a2176a4f
ESSENTIAL12x7-V2-E2-2-single-final-eof,E2-2,few-shot,interest,single-final-eof,200,schema_valid,admissible_preparatory,False,pass,interest formula matched source-derived balances/rates and actual TRANSACT bytes,1304,4cc17eb6446a87aed0b5b7f92bd0129ed8624cbdb396dcc76448419d2bec3fae
ESSENTIAL12x7-V2-E2-2-date-boundaries-in-out-v1,E2-2,few-shot,reporting,date-boundaries-in-out-v1,200,schema_valid,admissible_preparatory,False,inconclusive,TRANREPT-SRC-TOTALS-FINANCIAL-CORRECTNESS=not_observable,1683,627b25bdfcffa7635c2ef31583411558b3dd0d1ac6ca7643c167fceb2b21495c
ESSENTIAL12x7-V2-E2-2-empty-in-range-v1,E2-2,few-shot,reporting,empty-in-range-v1,200,schema_valid,admissible_preparatory,False,failed,report_empty,155,8b8a5ddb2c29ff9988fa16e611db7de1e54881c6b4b77f07616981233270d65f
ESSENTIAL12x7-V2-E2-2-card-break-two-groups-v1,E2-2,few-shot,reporting,card-break-two-groups-v1,400,schema_valid,inadmissible_or_limited,True,failed,missing_report,2,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
